Areaname,STCOU,AGE770209F,AGE770209D,AGE770209N1,AGE770209N2,AGE775200F,AGE775200D,AGE775200N1,AGE775200N2,AGE775201F,AGE775201D,AGE775201N1,AGE775201N2,AGE775202F,AGE775202D,AGE775202N1,AGE775202N2,AGE775203F,AGE775203D,AGE775203N1,AGE775203N2,AGE775204F,AGE775204D,AGE775204N1,AGE775204N2,AGE775205F,AGE775205D,AGE775205N1,AGE775205N2,AGE775206F,AGE775206D,AGE775206N1,AGE775206N2,AGE775207F,AGE775207D,AGE775207N1,AGE775207N2,AGE775208F,AGE775208D,AGE775208N1,AGE775208N2
UNITED STATES,00000,0,39570590,0000,0000,0,12.4,0000,0000,0,12.4,0000,0000,0,12.4,0000,0000,0,12.4,0000,0000,0,12.4,0000,0000,0,12.4,0000,0000,0,12.5,0000,0000,0,12.6,0000,0000,0,12.7,0000,0000
ALABAMA,01000,0,651049,0000,0000,0,13.1,0000,0000,0,13.1,0000,0000,0,13.1,0000,0000,0,13.2,0000,0000,0,13.2,0000,0000,0,13.3,0000,0000,0,13.4,0000,0000,0,13.5,0000,0000,0,13.7,0000,0000
"Autauga, AL",01001,0,5876,0000,0000,0,10.2,0000,0000,0,10.4,0000,0000,0,10.5,0000,0000,0,10.6,0000,0000,0,10.7,0000,0000,0,10.8,0000,0000,0,11,0000,0000,0,11.1,0000,0000,0,11.3,0000,0000
"Baldwin, AL",01003,0,30610,0000,0000,0,15.5,0000,0000,0,15.6,0000,0000,0,15.9,0000,0000,0,16.1,0000,0000,0,16.2,0000,0000,0,16.3,0000,0000,0,16.3,0000,0000,0,16.4,0000,0000,0,16.8,0000,0000
"Barbour, AL",01005,0,4102,0000,0000,0,13.3,0000,0000,0,13.2,0000,0000,0,13,0000,0000,0,12.8,0000,0000,0,13,0000,0000,0,13,0000,0000,0,13,0000,0000,0,13.3,0000,0000,0,13.5,0000,0000
"Bibb, AL",01007,0,2904,0000,0000,0,12.1,0000,0000,0,11.8,0000,0000,0,11.8,0000,0000,0,11.9,0000,0000,0,12,0000,0000,0,12.2,0000,0000,0,12.6,0000,0000,0,12.9,0000,0000,0,13.2,0000,0000
"Blount, AL",01009,0,8590,0000,0000,0,12.9,0000,0000,0,12.9,0000,0000,0,13,0000,0000,0,13.1,0000,0000,0,13.3,0000,0000,0,13.5,0000,0000,0,13.9,0000,0000,0,14.2,0000,0000,0,14.4,0000,0000
"Bullock, AL",01011,0,1181,0000,0000,0,13.2,0000,0000,0,13.2,0000,0000,0,13.1,0000,0000,0,12.8,0000,0000,0,12.6,0000,0000,0,12.2,0000,0000,0,11.8,0000,0000,0,11.3,0000,0000,0,11.1,0000,0000
"Butler, AL",01013,0,3231,0000,0000,0,16.4,0000,0000,0,16.6,0000,0000,0,16.3,0000,0000,0,16.5,0000,0000,0,16.3,0000,0000,0,16.2,0000,0000,0,16.2,0000,0000,0,16.1,0000,0000,0,16.1,0000,0000
"Calhoun, AL",01015,0,17152,0000,0000,0,14.3,0000,0000,0,14.3,0000,0000,0,14.4,0000,0000,0,14.4,0000,0000,0,14.3,0000,0000,0,14.4,0000,0000,0,14.3,0000,0000,0,14.6,0000,0000,0,14.9,0000,0000
