Areaname,STCOU,SEX255203F,SEX255203D,SEX255203N1,SEX255203N2,SEX255204F,SEX255204D,SEX255204N1,SEX255204N2,SEX255205F,SEX255205D,SEX255205N1,SEX255205N2,SEX255206F,SEX255206D,SEX255206N1,SEX255206N2,SEX255207F,SEX255207D,SEX255207N1,SEX255207N2,SEX255208F,SEX255208D,SEX255208N1,SEX255208N2,SEX255209F,SEX255209D,SEX255209N1,SEX255209N2,SEX300200F,SEX300200D,SEX300200N1,SEX300200N2,SEX300210F,SEX300210D,SEX300210N1,SEX300210N2,SEX320200F,SEX320200D,SEX320200N1,SEX320200N2
UNITED STATES,00000,0,50.9,0000,0000,0,50.8,0000,0000,0,50.8,0000,0000,0,50.7,0000,0000,0,50.7,0000,0000,0,50.7,0000,0000,0,50.7,0000,0000,0,96.3,0000,0000,0,96.7,0000,0000,0,96.3,0000,0000
ALABAMA,01000,0,51.6,0000,0000,0,51.6,0000,0000,0,51.6,0000,0000,0,51.6,0000,0000,0,51.6,0000,0000,0,51.6,0000,0000,0,51.5,0000,0000,0,93.3,0000,0000,0,94.3,0000,0000,0,93.3,0000,0000
"Autauga, AL",01001,0,51.4,0000,0000,0,51.5,0000,0000,0,51.5,0000,0000,0,51.5,0000,0000,0,51.4,0000,0000,0,51.4,0000,0000,0,51.4,0000,0000,0,94.5,0000,0000,0,94.9,0000,0000,0,94.5,0000,0000
"Baldwin, AL",01003,0,50.9,0000,0000,0,51,0000,0000,0,51,0000,0000,0,51.1,0000,0000,0,51,0000,0000,0,51.1,0000,0000,0,51,0000,0000,0,96.2,0000,0000,0,95.8,0000,0000,0,96.2,0000,0000
"Barbour, AL",01005,0,47.4,0000,0000,0,47.4,0000,0000,0,47.3,0000,0000,0,47.3,0000,0000,0,47.2,0000,0000,0,46.9,0000,0000,0,46.8,0000,0000,0,106.4,0000,0000,0,113.2,0000,0000,0,106.4,0000,0000
"Bibb, AL",01007,0,48.3,0000,0000,0,48.2,0000,0000,0,48.1,0000,0000,0,48,0000,0000,0,48,0000,0000,0,48,0000,0000,0,48,0000,0000,0,106.6,0000,0000,0,115.9,0000,0000,0,97.3,0000,0000
"Blount, AL",01009,0,50,0000,0000,0,50.1,0000,0000,0,50.1,0000,0000,0,50.2,0000,0000,0,50.2,0000,0000,0,50.2,0000,0000,0,50.2,0000,0000,0,99.7,0000,0000,0,97.9,0000,0000,0,99.7,0000,0000
"Bullock, AL",01011,0,46.3,0000,0000,0,46.5,0000,0000,0,45.9,0000,0000,0,46,0000,0000,0,45.2,0000,0000,0,44.7,0000,0000,0,44.5,0000,0000,0,110.2,0000,0000,0,118.2,0000,0000,0,110,0000,0000
"Butler, AL",01013,0,52.9,0000,0000,0,52.8,0000,0000,0,52.8,0000,0000,0,52.8,0000,0000,0,52.9,0000,0000,0,52.9,0000,0000,0,52.9,0000,0000,0,88,0000,0000,0,88.6,0000,0000,0,88,0000,0000
"Calhoun, AL",01015,0,52.1,0000,0000,0,52.1,0000,0000,0,52.1,0000,0000,0,52.1,0000,0000,0,52.1,0000,0000,0,52.1,0000,0000,0,52.1,0000,0000,0,91.7,0000,0000,0,93.1,0000,0000,0,91.7,0000,0000
"Chambers, AL",01017,0,52.6,0000,0000,0,52.6,0000,0000,0,52.6,0000,0000,0,52.6,0000,0000,0,52.7,0000,0000,0,52.7,0000,0000,0,52.6,0000,0000,0,89.6,0000,0000,0,91.7,0000,0000,0,89.6,0000,0000
"Cherokee, AL",01019,0,51,0000,0000,0,51.1,0000,0000,0,51.2,0000,0000,0,51.3,0000,0000,0,51.3,0000,0000,0,51.4,0000,0000,0,51.4,0000,0000,0,96.7,0000,0000,0,98.4,0000,0000,0,96.7,0000,0000
"Chilton, AL",01021,0,50.4,0000,0000,0,50.5,0000,0000,0,50.5,0000,0000,0,50.4,0000,0000,0,50.4,0000,0000,0,50.3,0000,0000,0,50.3,0000,0000,0,97.8,0000,0000,0,98.1,0000,0000,0,97.8,0000,0000
"Choctaw, AL",01023,0,53,0000,0000,0,53.1,0000,0000,0,53.1,0000,0000,0,53.1,0000,0000,0,53.1,0000,0000,0,53.2,0000,0000,0,53.1,0000,0000,0,88.8,0000,0000,0,93.3,0000,0000,0,88.8,0000,0000
"Clarke, AL",01025,0,52.6,0000,0000,0,52.5,0000,0000,0,52.5,0000,0000,0,52.4,0000,0000,0,52.4,0000,0000,0,52.4,0000,0000,0,52.3,0000,0000,0,89.7,0000,0000,0,89.7,0000,0000,0,89.8,0000,0000
"Clay, AL",01027,0,50.9,0000,0000,0,51,0000,0000,0,50.8,0000,0000,0,50.9,0000,0000,0,50.7,0000,0000,0,50.6,0000,0000,0,50.6,0000,0000,0,95.2,0000,0000,0,96.3,0000,0000,0,95.2,0000,0000
"Cleburne, AL",01029,0,49.9,0000,0000,0,49.9,0000,0000,0,49.8,0000,0000,0,49.7,0000,0000,0,49.7,0000,0000,0,49.6,0000,0000,0,49.6,0000,0000,0,99.3,0000,0000,0,99.1,0000,0000,0,99.3,0000,0000
"Coffee, AL",01031,0,51.4,0000,0000,0,51.5,0000,0000,0,51.5,0000,0000,0,51.4,0000,0000,0,51.4,0000,0000,0,51.4,0000,0000,0,51.4,0000,0000,0,95.5,0000,0000,0,97.7,0000,0000,0,95.5,0000,0000
"Colbert, AL",01033,0,52,0000,0000,0,52.1,0000,0000,0,52.1,0000,0000,0,52.1,0000,0000,0,52,0000,0000,0,52,0000,0000,0,52,0000,0000,0,91.8,0000,0000,0,92.5,0000,0000,0,91.8,0000,0000
